1 28.3	1 20.88	1 11.67	1 28.44	1 21.01	1 12.72	1 28.98	0.99 26.53	1 15.16	0.92 13.18	0.98 10.98	1 7.21	0.88 12.82	1 12.12	1 7.53	0.85 12.55	0.92 13.14	0.96 9.22	0.85 11.04	0.94 10.03	1 7.1	0.8 10.71	0.93 10.18	1 7.51	0.88 11.58	0.88 11.48	0.97 8.61	
0.93 38.26	0.99 28.67	1 17.03	0.92 35.65	0.99 29.22	1 17.04	0.99 36.62	0.97 33.2	0.99 24.29	0.75 14.66	0.88 13.25	1 8.75	0.73 13.33	0.88 12.62	1 8.95	0.73 12.59	0.85 13.36	0.97 11.47	0.64 11.13	0.86 10.76	1 8.16	0.73 12.16	0.91 11.52	1 8.07	0.75 12.07	0.79 11.14	0.96 10.31	
0.4 14.19	0.7 30.97	0.77 28.28	0.39 11.69	0.6 27.31	0.76 27.87	0.73 31.96	0.62 29.37	0.7 21.94	0.2 4.78	0.42 8.5	0.53 8.81	0.17 3.17	0.36 6.61	0.59 11.44	0.38 6.23	0.51 11.09	0.73 13.95	0.17 3.62	0.48 8.98	0.75 10.11	0.27 6.44	0.54 10.46	0.6 8.38	0.44 7.01	0.61 10.1	0.76 12.1	
0.86 29.41	0.91 24.63	1 16.24	0.87 35.65	0.94 28.6	1 17.02	0.85 37.6	0.9 35.6	1 21.16	0.45 8.11	0.73 11.04	0.98 9.6	0.63 10.06	0.78 12.14	0.98 9.61	0.62 12.06	0.74 14.85	0.96 12.81	0.48 7.3	0.74 10.26	1 9.42	0.55 8.27	0.79 11.67	0.97 8.64	0.65 12.22	0.8 12.87	0.96 10.83	
0.07 1.68	0.04 2.02	0.01 0.06	0.08 3.35	0.07 2.81	0 0	0.24 12.23	0.16 7.48	0 0	0.02 1.02	0.03 0.27	0 0	0.04 0.63	0.02 0.18	0.02 0.36	0.07 0.77	0.04 0.71	0.03 1.02	0.07 0.8	0.05 0.67	0 0	0.05 1.35	0.04 0.42	0.02 0.1	0.1 1.54	0.11 2.01	0.04 1.61	
0.11 3.19	0.22 8.4	0.91 14.67	0.17 5.03	0.36 9.39	0.95 18.18	0.18 8.55	0.37 15.15	0.94 23.07	0.03 0.46	0.11 2.56	0.79 12.44	0.05 0.84	0.16 4.02	0.85 13.18	0.07 1.86	0.18 7.15	0.77 16.34	0.08 1.81	0.19 5.98	0.84 11.89	0.08 1.12	0.26 7.18	0.84 12.27	0.1 2.81	0.35 11.66	0.81 15.35	
0.95 20.66	0.94 21.27	0.7 27.84	0.95 19.27	0.98 21.44	0.8 32.82	0.98 20.86	0.98 25.04	0.85 37.94	0.64 6.35	0.71 6.91	0.47 7.61	0.85 8.22	0.77 7.78	0.63 10.43	0.85 8.78	0.74 8.29	0.65 13.26	0.64 5.16	0.74 6.86	0.48 5.71	0.73 6.06	0.76 6.43	0.48 6.57	0.85 7.98	0.81 8.22	0.61 10.42	
1 24.29	1 17.53	1 10.45	1 24.14	1 18.34	1 10.39	0.99 26.09	0.97 24.49	1 12.71	0.93 10.16	0.97 9.24	1 6.08	0.98 11.58	0.96 9.34	1 6.27	0.91 11.56	0.93 11.06	0.99 7.26	0.91 9.77	0.96 8.42	1 5.29	0.89 9.47	0.95 8.88	1 5.77	0.93 10.4	0.92 9.76	0.98 7.3	
1 19.59	1 14.29	1 9	1 19.3	1 15.02	1 9.15	0.98 20.3	1 18.79	1 11.44	0.96 10.24	1 9.42	1 5.99	0.95 10.89	0.95 9.17	1 6.66	0.92 11.49	0.95 11.19	0.98 7.47	0.87 9.16	0.98 8.47	1 5.51	0.94 10.08	0.98 8.64	1 6.11	0.92 10.41	0.97 10.98	0.99 7.77	
1 13.04	1 9.19	1 5.13	1 12.13	1 9.13	1 5.05	1 10.79	1 8.26	1 4.75	1 7.06	1 4.92	1 3.28	1 6.47	1 5	1 3.03	1 5.86	1 4.59	1 3.07	1 6.22	1 4.73	1 2.93	1 5.48	1 4.55	1 2.79	1 5.38	1 4.12	1 2.69	
0.99 7.38	1 7.19	1 4.93	0.99 7.5	0.98 7.21	1 5.69	0.98 8.65	0.99 9.22	1 8.6	0.97 7.11	1 7.16	1 4.91	0.98 7.52	1 7.38	1 5.35	0.97 8.31	0.99 9.04	1 6.93	1 6.14	1 6.31	1 4.74	0.95 6.44	0.98 6.59	1 5.13	0.97 7.4	1 8.77	0.99 6.58	
0.98 7.84	1 7.14	1 5.26	1 8.53	1 7.81	1 5.33	1 9.31	0.99 10.41	1 7.39	0.96 6.34	1 6.38	1 4.81	0.99 7.31	1 7.36	1 5.08	0.98 8.45	1 8.62	1 6.73	0.97 5.85	0.99 6.12	1 4.6	0.97 6.37	0.98 6.38	1 4.86	1 7.64	0.99 7.57	1 6.38	
0.82 25.27	0.92 24.75	0.99 21.62	0.94 28.97	0.98 25.79	0.99 21.85	0.75 30.61	0.94 34.32	1 27.22	0.6 10.67	0.65 10	0.79 10.61	0.64 11.98	0.82 13.26	0.85 11.46	0.45 10.36	0.53 11.32	0.81 13.47	0.58 10.27	0.62 8.97	0.82 9.51	0.61 10.36	0.76 11.57	0.79 9.41	0.4 7.5	0.65 12.35	0.86 12.98	
